mask,subset,p_center,p_plus,p_minus,positive,endpoints_equal
0,{},421709312259/6250000000000000000,2516189707626291/62500000000000000000000,2516189707626291/62500000000000000000000,True,True
1,{1},55894708062741/6250000000000000000,522491433776748709/62500000000000000000000,522491433776748709/62500000000000000000000,True,True
2,{2},55894708062741/6250000000000000000,522491433776748709/62500000000000000000000,522491433776748709/62500000000000000000000,True,True
3,"{1,2}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
4,{3},55894708062741/6250000000000000000,522491433776748709/62500000000000000000000,522491433776748709/62500000000000000000000,True,True
5,"{1,3}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
6,"{2,3}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
7,"{1,2,3}",760286902542812741/6250000000000000000,7602757967826445498709/62500000000000000000000,7602757967826445498709/62500000000000000000000,True,True
8,{4},55894708062741/6250000000000000000,522491433776748709/62500000000000000000000,522491433776748709/62500000000000000000000,True,True
9,"{1,4}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
10,"{2,4}",4066986804812259/6250000000000000000,40718890681995126291/62500000000000000000000,40718890681995126291/62500000000000000000000,True,True
11,"{1,2,4}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
12,"{3,4}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
13,"{1,3,4}",84553217638312741/6250000000000000000,845545185791132998709/62500000000000000000000,845545185791132998709/62500000000000000000000,True,True
14,"{2,3,4}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
15,"{1,2,3,4}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
16,{5},55894708062741/6250000000000000000,522491433776748709/62500000000000000000000,522491433776748709/62500000000000000000000,True,True
17,"{1,5}",4066986804812259/6250000000000000000,40718890681995126291/62500000000000000000000,40718890681995126291/62500000000000000000000,True,True
18,"{2,5}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
19,"{1,2,5}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
20,"{3,5}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
21,"{1,3,5}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
22,"{2,3,5}",84553217638312741/6250000000000000000,845545185791132998709/62500000000000000000000,845545185791132998709/62500000000000000000000,True,True
23,"{1,2,3,5}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
24,"{4,5}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
25,"{1,4,5}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
26,"{2,4,5}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
27,"{1,2,4,5}",4066986804812259/6250000000000000000,40718890681995126291/62500000000000000000000,40718890681995126291/62500000000000000000000,True,True
28,"{3,4,5}",84553217638312741/6250000000000000000,845545185791132998709/62500000000000000000000,845545185791132998709/62500000000000000000000,True,True
29,"{1,3,4,5}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
30,"{2,3,4,5}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
31,"{1,2,3,4,5}",55894708062741/6250000000000000000,522491433776748709/62500000000000000000000,522491433776748709/62500000000000000000000,True,True
32,{6},55894708062741/6250000000000000000,522491433776748709/62500000000000000000000,522491433776748709/62500000000000000000000,True,True
33,"{1,6}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
34,"{2,6}",4898381326812259/6250000000000000000,48995821578495126291/62500000000000000000000,48995821578495126291/62500000000000000000000,True,True
35,"{1,2,6}",84553217638312741/6250000000000000000,845545185791132998709/62500000000000000000000,845545185791132998709/62500000000000000000000,True,True
36,"{3,6}",4066986804812259/6250000000000000000,40718890681995126291/62500000000000000000000,40718890681995126291/62500000000000000000000,True,True
37,"{1,3,6}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
38,"{2,3,6}",337922737160312741/6250000000000000000,3379203366687632998709/62500000000000000000000,3379203366687632998709/62500000000000000000000,True,True
39,"{1,2,3,6}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
40,"{4,6}",6931663874562259/6250000000000000000,69352868060838876291/62500000000000000000000,69352868060838876291/62500000000000000000000,True,True
