mask,subset,size,order_w,leading_a,second_jet_b
0,,0,2,1,-100
1,0,1,1,3/5,60
2,1,1,1,3/10,30
3,0 1,2,0,1/50,13/5
4,2,1,1,1/5,20
5,0 2,2,0,2/25,-108/5
6,1 2,2,0,1/50,23/5
7,0 1 2,3,1,3/25,39/10
8,3,1,1,3/10,30
9,0 3,2,0,9/50,-303/5
10,1 3,2,0,2/25,12/5
11,0 1 3,3,1,7/25,88/5
12,2 3,2,0,1/50,23/5
13,0 2 3,3,1,7/25,71/10
14,1 2 3,3,1,3/25,2/5
15,0 1 2 3,4,2,2/5,-1
16,4,1,1,3/5,60
17,0 4,2,0,8/25,-112/5
18,1 4,2,0,9/50,-303/5
19,0 1 4,3,1,13/25,142/5
20,2 4,2,0,2/25,-108/5
21,0 2 4,3,1,12/25,128/5
22,1 2 4,3,1,7/25,71/10
23,0 1 2 4,4,2,7/10,-16
24,3 4,2,0,1/50,13/5
25,0 3 4,3,1,13/25,142/5
26,1 3 4,3,1,7/25,88/5
27,0 1 3 4,4,2,4/5,-36
28,2 3 4,3,1,3/25,39/10
29,0 2 3 4,4,2,7/10,-16
30,1 2 3 4,4,2,2/5,-1
31,0 1 2 3 4,5,3,1,0
