mask	p0_num	p0_den	ph_num	ph_den
00000	1709337154939	100000000000000000000	106676909868459401834969	6250000000000000000000000000000
00001	2656283230935061	100000000000000000000	166017744649677366641455031	6250000000000000000000000000000
00010	6115970682105061	100000000000000000000	382248259084754513622575031	6250000000000000000000000000000
00011	3971055587349804939	100000000000000000000	248190974216992099660334134969	6250000000000000000000000000000
00100	3263125734325061	100000000000000000000	203945390776741244180575031	6250000000000000000000000000000
00101	4816014638897584939	100000000000000000000	301000914895668312929776134969	6250000000000000000000000000000
00110	4184669109046414939	100000000000000000000	261541819326161410782795014969	6250000000000000000000000000000
00111	2467575721675061	100000000000000000000	154223489507135043248275031	6250000000000000000000000000000
01000	8434437215975061	100000000000000000000	527152398460111688723165031	6250000000000000000000000000000
01001	12094797748615934939	100000000000000000000	755924859218562692485233544969	6250000000000000000000000000000
01010	25132478169064764939	100000000000000000000	1570779885473979040338252424969	6250000000000000000000000000000
01011	4467094503325061	100000000000000000000	279193455111755487790865031	6250000000000000000000000000000
01100	3805671766912544939	100000000000000000000	237854485447237453607694424969	6250000000000000000000000000000
01101	2116290055545061	100000000000000000000	132268155485142218348865031	6250000000000000000000000000000
01110	5789712006715061	100000000000000000000	361857023390619365329985031	6250000000000000000000000000000
01111	781625194939	100000000000000000000	48828023184808626724969	6250000000000000000000000000000
10000	7009200306245061	100000000000000000000	438075093302307823678975031	6250000000000000000000000000000
10001	6285970421125664939	100000000000000000000	392873151332436946350277734969	6250000000000000000000000000000
10010	25078103510574494939	100000000000000000000	1567381469304727819203296614969	6250000000000000000000000000000
10011	5366317393595061	100000000000000000000	335394862896526622746675031	6250000000000000000000000000000
10100	8650505306722274939	100000000000000000000	540656581615572207472738614969	6250000000000000000000000000000
10101	1730314645815061	100000000000000000000	108144694433938353304675031	6250000000000000000000000000000
10110	5070067596985061	100000000000000000000	316879269464890500285795031	6250000000000000000000000000000
10111	861634924939	100000000000000000000	53827415363673670914969	6250000000000000000000000000000
11000	5915774434040624939	100000000000000000000	369735902130528962028196024969	6250000000000000000000000000000
11001	3354766127465061	100000000000000000000	209672901149433797847265031	6250000000000000000000000000000
11010	4413568778635061	100000000000000000000	275848120757135944828385031	6250000000000000000000000000000
11011	781653274939	100000000000000000000	48810450868229128324969	6250000000000000000000000000000
11100	2699019730855061	100000000000000000000	168688744962347675386385031	6250000000000000000000000000000
11101	537301054939	100000000000000000000	33559863856498570324969	6250000000000000000000000000000
11110	892249884939	100000000000000000000	55724684329351589204969	6250000000000000000000000000000
11111	118205061	100000000000000000000	7353066474454085031	6250000000000000000000000000000
