mask	p_num	p_den	p1_num	p1_den	p2_num	p2_den	q_equals_minus_p2_num	q_den
00000	1709337154939	100000000000000000000	0	1	-156662315231953	312500000000000	156662315231953	312500000000000
00001	2656283230935061	100000000000000000000	0	1	42716236056953	312500000000000	-42716236056953	312500000000000
00010	6115970682105061	100000000000000000000	0	1	91453188204453	312500000000000	-91453188204453	312500000000000
00011	3971055587349804939	100000000000000000000	0	1	7629290970547	312500000000000	-7629290970547	312500000000000
00100	3263125734325061	100000000000000000000	0	1	32381424934453	312500000000000	-32381424934453	312500000000000
00101	4816014638897584939	100000000000000000000	0	1	-35430745759453	312500000000000	35430745759453	312500000000000
00110	4184669109046414939	100000000000000000000	0	1	10760477093047	312500000000000	-10760477093047	312500000000000
00111	2467575721675061	100000000000000000000	0	1	6902443731953	312500000000000	-6902443731953	312500000000000
01000	8434437215975061	100000000000000000000	0	1	72461670379453	312500000000000	-72461670379453	312500000000000
01001	12094797748615934939	100000000000000000000	0	1	-69933241204453	312500000000000	69933241204453	312500000000000
01010	25132478169064764939	100000000000000000000	0	1	-92568768351953	312500000000000	92568768351953	312500000000000
01011	4467094503325061	100000000000000000000	0	1	48653939176953	312500000000000	-48653939176953	312500000000000
01100	3805671766912544939	100000000000000000000	0	1	15203394918047	312500000000000	-15203394918047	312500000000000
01101	2116290055545061	100000000000000000000	0	1	27013575906953	312500000000000	-27013575906953	312500000000000
01110	5789712006715061	100000000000000000000	0	1	22970928054453	312500000000000	-22970928054453	312500000000000
01111	781625194939	100000000000000000000	0	1	-23551498879453	312500000000000	23551498879453	312500000000000
10000	7009200306245061	100000000000000000000	0	1	74161991514453	312500000000000	-74161991514453	312500000000000
10001	6285970421125664939	100000000000000000000	0	1	12082887660547	312500000000000	-12082887660547	312500000000000
10010	25078103510574494939	100000000000000000000	0	1	-106178114486953	312500000000000	106178114486953	312500000000000
10011	5366317393595061	100000000000000000000	0	1	25796835311953	312500000000000	-25796835311953	312500000000000
10100	8650505306722274939	100000000000000000000	0	1	-54569976216953	312500000000000	54569976216953	312500000000000
10101	1730314645815061	100000000000000000000	0	1	29070497041953	312500000000000	-29070497041953	312500000000000
10110	5070067596985061	100000000000000000000	0	1	44653324189453	312500000000000	-44653324189453	312500000000000
10111	861634924939	100000000000000000000	0	1	-24767445014453	312500000000000	24767445014453	312500000000000
11000	5915774434040624939	100000000000000000000	0	1	2989903338047	312500000000000	-2989903338047	312500000000000
11001	3354766127465061	100000000000000000000	0	1	18182867486953	312500000000000	-18182867486953	312500000000000
11010	4413568778635061	100000000000000000000	0	1	72092444634453	312500000000000	-72092444634453	312500000000000
11011	781653274939	100000000000000000000	0	1	-42878815459453	312500000000000	42878815459453	312500000000000
11100	2699019730855061	100000000000000000000	0	1	11783906364453	312500000000000	-11783906364453	312500000000000
11101	537301054939	100000000000000000000	0	1	-21452077189453	312500000000000	21452077189453	312500000000000
11110	892249884939	100000000000000000000	0	1	-40933479336953	312500000000000	40933479336953	312500000000000
11111	118205061	100000000000000000000	0	1	-34749838047	312500000000000	34749838047	312500000000000
